Team,Icon
Northwestern,"Northwestern<a href=""http://https://nusports.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/08/nw6-195x300.png"" alt="""" width=""195"" height=""300"" class=""alignnone size-medium wp-image-2317"" /></a>"
Liberty,"Liberty<a href=""http://https://www.liberty.edu/flames/football/""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/liberty2-1024x926-1-300x271.png"" alt=""Liberty logo"" width=""300"" height=""271"" class=""alignnone size-medium wp-image-114"" /></a>"
Marshall,"Marshall<a href=""http://https://herdzone.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/08/marshall2-300x199.png"" alt="""" width=""300"" height=""199"" class=""alignnone size-medium wp-image-2438"" /></a>"
East Carolina,"East Carolina<a href=""http://https://ecupirates.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/ecu3-962x1024-1-282x300.png"" alt=""East Carolina logo"" width=""282"" height=""300"" class=""alignnone size-medium wp-image-101"" /></a>"
Illinois,"Illinois<a href=""http://https://fightingillini.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/illinois2-709x1024-1-208x300.png"" alt=""Illinois logo"" width=""208"" height=""300"" class=""alignnone size-medium wp-image-108"" /></a>"
Tulsa,"Tulsa<a href=""http://https://tulsahurricane.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/tulsa1-1024x771-1-300x226.png"" alt=""Tulsa logo"" width=""300"" height=""226"" class=""alignnone size-medium wp-image-149"" /></a>"
Western Ky.,"Western Kentucky<a href=""http://https://wkusports.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/06/wku1-300x221.png"" alt="""" width=""300"" height=""221"" class=""alignnone size-medium wp-image-2125"" /></a>"
Tulane,"Tulane<a href=""http://https://tulanegreenwave.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/tulane2-1024x737-1-300x216.png"" alt=""Tulane logo"" width=""300"" height=""216"" class=""alignnone size-medium wp-image-148"" /></a>"
Arizona,"Arizona<a href=""http://https://arizonawildcats.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/arizona2-1024x947-1-300x277.png"" alt=""Arizona logo"" width=""300"" height=""277"" class=""alignnone size-medium wp-image-86"" /></a>"
Northern Ill.,"Northern Illinois<a href=""http://https://niuhuskies.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/niu1-1024x997-1-300x292.png"" alt=""Northern Illinois Logo"" width=""300"" height=""292"" class=""alignnone size-medium wp-image-127"" /></a>"
